"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"2592",608652,"Luke Farrell",2019,212,0.08491,0.12107,-0.0217533504013137,65,0.21538,0.25455,-0.00762432848901732,108,0.55556,0.63234,-0.0283929729938215,-0.000984705896509504
"2593",608665,"Kendall Graveman",2015,1852,0.07775,0.08028,-0.00231039121652701,618,0.27994,0.27222,-0.00388591421346827,842,0.63895,0.63021,-0.000376582661196024,-0.00581972276879925
"2594",608665,"Kendall Graveman",2016,2789,0.07458,0.07565,0.00013716054061873,845,0.26154,0.27899,-0.0184829752693928,1390,0.62086,0.62438,-0.00911935497176494,-0.00922645975700913
"2595",608665,"Kendall Graveman",2017,1601,0.06871,0.08096,-0.00980630561811418,384,0.3099,0.31688,-0.00726618780429338,718,0.63928,0.61773,0.0102802943325335,-0.0273527877549411
"2596",608665,"Kendall Graveman",2018,624,0.07532,0.09201,-0.010591170689137,224,0.3125,0.27907,0.0368359646495907,279,0.59857,0.62583,-0.0144587986105175,0.0407035925709713
"2597",608678,"Dominic Leone",2015,286,0.1049,0.09562,0.00867536524883807,91,0.23077,0.26734,-0.0216922177042297,123,0.70732,0.62209,0.0344071223485432,-0.0474239748039348
"2598",608678,"Dominic Leone",2016,474,0.11603,0.09248,0.0162686279200158,124,0.28226,0.29948,-0.0117881393100466,225,0.72,0.64739,0.0386240580214396,-0.0341435694114703
"2599",608678,"Dominic Leone",2017,1082,0.14603,0.08413,0.0511478573802155,267,0.35206,0.29592,0.0469188369307347,484,0.66116,0.63133,0.0123747351415245,0.0856919591694256
"2600",608678,"Dominic Leone",2018,389,0.1491,0.08316,0.0411592431621521,119,0.32773,0.31001,0.0238222848750207,180,0.73889,0.65006,0.0373985665865367,0.0275829614506361
"2601",608678,"Dominic Leone",2019,663,0.1448,0.08757,0.041348434482469,192,0.30208,0.29734,0.0202141974563637,272,0.68382,0.62732,0.0219088848913915,0.0396537470474411
"2602",608716,"Drew Steckenrider",2017,698,0.13324,0.10823,0.0185557821343434,232,0.30172,0.36334,-0.0375459473297168,362,0.70994,0.69429,0.00111003261711947,-0.0201001978124929
"2603",608716,"Drew Steckenrider",2018,1161,0.11197,0.10199,0.00552979611397296,375,0.26667,0.32264,-0.0243734596741941,587,0.68995,0.69144,-0.0143559228595032,-0.00448774070071792
"2604",608716,"Drew Steckenrider",2019,237,0.09283,0.12461,-0.0168946868712907,64,0.1875,0.30644,-0.0302529000055824,119,0.63866,0.68525,-0.0226426125920648,-0.0245049742848082
"2605",608717,"Chris Stratton",2016,168,0.07143,0.11102,-0.0185515882206091,59,0.10169,0.23213,-0.04738892977088,78,0.74359,0.66666,0.0262234712684854,-0.0921639892599745
