"","pitcher","player_name","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"397",519096,"Dan Otero",3885,0.07336,0.09314,-0.017682826052953,1440,0.42083,0.3102,0.100878318932092,1911,0.65934,0.65186,-0.00276987036095597,0.085965363240095
"398",519141,"Drew Pomeranz",10551,0.10227,0.10708,-0.00631261595349778,4727,0.28305,0.28048,-0.00200418614802436,5099,0.63993,0.65801,-0.0333428243848697,0.0250260222833475
"399",519144,"Rick Porcello",15303,0.08567,0.10688,-0.0195808726777935,4628,0.33341,0.29665,0.041748086544459,7973,0.65346,0.65503,-0.0120527209566146,0.0342199348232801
"400",519151,"Ryan Pressly",4425,0.14237,0.12318,0.0199222308054886,985,0.25178,0.29141,-0.0324045225577046,2295,0.65054,0.64175,-0.00108631499549698,-0.0113959767567191
"401",519166,"Neil Ramirez",2586,0.13264,0.11755,0.0132396408692083,747,0.27443,0.28343,-0.00106340585240825,1233,0.67883,0.6668,-0.00180973143314873,0.0139859664499488
"402",519168,"Anthony Ranaudo",917,0.05344,0.09833,-0.0348679012362524,303,0.26403,0.24531,0.0159972511335152,477,0.66457,0.64662,0.00531304372692056,-0.0241836938296578
"403",519169,"Rob Rasmussen",331,0.0997,0.10398,-0.0025052233879588,140,0.3,0.29263,0.00387086325895988,159,0.69811,0.65031,0.0152044062018466,-0.0138387663308455
"404",519186,"Matt Reynolds",357,0.11765,0.10235,0.007415797269111,165,0.29697,0.26001,0.0266040557253492,160,0.63125,0.6359,-0.0115362474926032,0.0455561004870635
"405",519240,"Marc Rzepczynski",2126,0.12183,0.09816,0.0218509191852304,805,0.28199,0.25779,0.0268478002616235,855,0.64211,0.59995,0.02272029844997,0.0259784209968838
"406",519242,"Chris Sale",14815,0.14074,0.1158,0.0244036859093224,5297,0.30791,0.31598,-0.0118907475726138,7557,0.64523,0.6851,-0.0530974477010733,0.065610386037782
"407",519263,"A.J. Schugel",1486,0.08546,0.10423,-0.0216221298061867,562,0.32562,0.32478,0.00524326919713254,720,0.65556,0.66936,-0.0224118801061958,0.0060330194971416
"408",519267,"Evan Scribner",1241,0.12409,0.10302,0.0202272275345505,268,0.37313,0.3448,0.0253225419030858,662,0.63595,0.64208,-0.0102285993441712,0.0557783687818075
"409",519293,"Will Smith",3568,0.14658,0.11148,0.0336769723017601,1571,0.37938,0.30567,0.0756786063920036,1650,0.59758,0.61882,-0.0320023762975481,0.141357954991312
"410",519294,"Josh Smoker",1478,0.11773,0.09985,0.0146767684648516,649,0.25732,0.27503,-0.00948940281031003,729,0.64746,0.66087,-0.0162642881881343,0.0214516538426758
"411",519301,"Sammy Solis",2193,0.11218,0.10466,0.0100107471126117,999,0.25125,0.28972,-0.0357987977163312,1061,0.67861,0.67461,-0.00573026599120777,-0.0200577846125117
"412",519322,"Drew Storen",2637,0.10466,0.10503,0.000746883533892507,754,0.30504,0.26233,0.0422406539956424,1330,0.64511,0.65357,-0.0157631866198961,0.058750724149431
"413",519326,"Hunter Strickland",3897,0.11676,0.10128,0.0128966589266589,1141,0.29273,0.30023,0.000654080724701908,1974,0.70973,0.67609,0.0186895373683049,-0.00513879771694409
"414",519344,"Nick Tepesch",366,0.05738,0.10215,-0.0292735654979012,124,0.34677,0.27676,0.0363453454550465,169,0.61538,0.62154,-0.00413382091791223,0.0112056008750575
"415",519381,"Pat Venditte",1180,0.09661,0.10728,-0.00799729773818207,392,0.29592,0.29014,0.00451956196413883,558,0.63799,0.64467,-0.0149853670675717,0.0115076312935285
"416",519393,"Marcus Walden",1460,0.12945,0.10389,0.020613637532988,433,0.24249,0.28327,-0.0304448086327906,668,0.67814,0.64406,0.0203116547430568,-0.0301428258428594
"417",519437,"Chris Withrow",650,0.11231,0.07916,0.0262630829516792,179,0.21788,0.24014,-0.0211404713983199,329,0.68997,0.66974,0.00657702360568028,-0.00145441205232102
"418",519443,"Brandon Workman",2501,0.11555,0.1087,0.00555044790921533,937,0.24546,0.26526,-0.011986122670183,1153,0.58716,0.63603,-0.0514356350029892,0.0449999602420216
"419",519455,"Jordan Zimmermann",11219,0.08414,0.11949,-0.0328910417677668,3468,0.2598,0.31008,-0.0391444766421721,5766,0.66927,0.64289,0.0173999546139613,-0.0894354730239002
"420",520980,"Pedro Baez",5213,0.15135,0.11091,0.0365302591201484,2043,0.35047,0.29307,0.0521573178688516,2486,0.74899,0.68446,0.0443767522402264,0.0443108247487737
