"Name","Team","K%","BB%","SwStr%","playerid"
"Jerad Eickhoff","Phillies","20.8 %","7.4 %","10.9 %","12664"
"Wade LeBlanc","Mariners","17.3 %","5.8 %","9.7 %","5221"
"Brad Wieck","- - -","33.1 %","8.8 %","12.0 %","16390"
"Kevin Gausman","- - -","25.3 %","7.1 %","14.9 %","14107"
"Erik Swanson","Mariners","21.2 %","4.9 %","9.4 %","16587"
"Shawn Armstrong","- - -","23.3 %","10.7 %","11.9 %","12857"
"Robert Dugger","Marlins","16.0 %","10.9 %","9.3 %","19191"
"Edgar Garcia","Phillies","26.2 %","15.1 %","12.7 %","19276"
"Gregory Soto","Tigers","16.3 %","12.0 %","8.1 %","19677"
"Andrew Suarez","Giants","16.9 %","9.5 %","7.8 %","18300"
"Dylan Cease","White Sox","24.9 %","10.7 %","11.1 %","18525"
"Wily Peralta","Royals","13.6 %","10.8 %","8.5 %","7738"
"Corey Kluber","Indians","22.6 %","8.9 %","12.3 %","2429"
"Alex Wood","Reds","19.6 %","5.9 %","10.8 %","13781"
"Josh A. Smith","Red Sox","20.9 %","5.8 %","12.1 %","10946"
"Ariel Jurado","Rangers","15.0 %","6.7 %","7.3 %","17030"
"Cole Irvin","Phillies","17.1 %","7.2 %","9.6 %","19244"
"Framber Valdez","Astros","20.7 %","13.4 %","10.6 %","17295"
"Adrian Sampson","Rangers","17.9 %","6.4 %","9.5 %","13339"
"Aaron Sanchez","- - -","19.0 %","11.2 %","8.9 %","11490"
"Drew VerHagen","Tigers","19.8 %","8.9 %","9.4 %","13424"
"Taylor Cole","Angels","21.7 %","10.4 %","11.9 %","11964"
"Branden Kline","Orioles","18.6 %","10.4 %","10.0 %","14101"
"Clayton Richard","Blue Jays","11.0 %","9.0 %","6.2 %","3551"
"Zack Godley","- - -","17.2 %","10.3 %","10.1 %","14862"
"Trevor Cahill","Angels","17.8 %","8.6 %","10.0 %","6249"
"Nathan Eovaldi","Red Sox","23.2 %","11.6 %","10.6 %","9132"
"Jhoulys Chacin","- - -","21.5 %","9.8 %","8.1 %","2608"
"Glenn Sparkman","Royals","13.4 %","6.8 %","7.5 %","15200"
"Brian Johnson","Red Sox","16.1 %","11.9 %","8.4 %","14272"
"Chad Bettis","Rockies","14.6 %","7.3 %","9.4 %","10587"
"Derek Holland","- - -","21.8 %","12.0 %","11.1 %","4141"
"Tyson Ross","Tigers","15.4 %","11.1 %","7.1 %","7872"
"Phil Maton","- - -","20.3 %","7.4 %","11.7 %","18064"
"Kelvin Herrera","White Sox","22.6 %","9.8 %","11.7 %","6033"
"Thomas Pannone","Blue Jays","21.2 %","9.5 %","10.9 %","17281"
"Jeremy Hellickson","Nationals","16.4 %","10.9 %","6.1 %","4371"
"Drew Smyly","- - -","23.4 %","10.7 %","10.7 %","11760"
"Tayron Guerrero","Marlins","19.9 %","16.7 %","13.3 %","11691"
"Jonathan Holder","Yankees","25.4 %","6.1 %","11.8 %","16588"
"Jorge Lopez","Royals","19.9 %","7.7 %","8.8 %","14527"
"Matt Grace","Nationals","17.0 %","4.9 %","8.5 %","11449"
"Jeffrey Springs","Rangers","20.7 %","14.8 %","12.5 %","17677"
"Felix Hernandez","Mariners","17.5 %","7.7 %","8.6 %","4772"
"Jaime Barria","Angels","20.6 %","7.4 %","9.3 %","18356"
"Tom Eshelman","Orioles","13.4 %","6.7 %","6.7 %","18361"
"Adam Conley","Marlins","18.7 %","10.3 %","10.5 %","14457"
"Jeff Hoffman","Rockies","21.6 %","10.8 %","9.3 %","17432"
"Clay Buchholz","Blue Jays","15.4 %","6.3 %","9.4 %","3543"
"Wei-Yin Chen","Marlins","20.5 %","5.9 %","9.4 %","13071"
"Ross Detwiler","White Sox","14.6 %","8.6 %","6.5 %","2859"
"Adalberto Mejia","- - -","20.7 %","14.5 %","9.4 %","13188"
"Hector Santiago","- - -","24.5 %","13.5 %","11.1 %","4026"
"Antonio Senzatela","Rockies","13.1 %","9.8 %","7.4 %","15488"
"Kyle Freeland","Rockies","16.7 %","8.3 %","9.6 %","16256"
"Nick Margevicius","Padres","16.0 %","7.2 %","9.6 %","20395"
"Jimmy Yacabonis","Orioles","17.1 %","12.4 %","8.8 %","15157"
"Jordan Zimmermann","Tigers","16.3 %","5.0 %","8.5 %","4505"
"Manny Banuelos","White Sox","18.7 %","14.0 %","9.2 %","5365"
"David Hess","Orioles","18.6 %","8.2 %","8.5 %","16130"
"Matt Harvey","Angels","14.7 %","10.9 %","9.1 %","11713"
"Jose Suarez","Angels","19.2 %","8.8 %","10.8 %","19911"
"Mitch Keller","Pirates","28.6 %","7.1 %","11.8 %","17594"
"Peter Lambert","Rockies","13.6 %","8.6 %","7.1 %","17969"
"Nick Kingham","- - -","17.8 %","9.7 %","8.5 %","11694"
"Jacob Barnes","- - -","20.0 %","13.8 %","9.4 %","12323"
"Dylan Covey","White Sox","14.6 %","10.0 %","7.5 %","14825"
"David Hernandez","Reds","26.8 %","10.1 %","14.9 %","4259"
"Shelby Miller","Rangers","13.6 %","13.2 %","7.5 %","10197"
"Wade Davis","Rockies","20.4 %","14.1 %","10.7 %","7441"
"Corbin Burnes","Brewers","29.8 %","8.5 %","17.2 %","19361"
"Geoff Hartlieb","Pirates","22.2 %","10.5 %","10.9 %","19558"
"Ryan Carpenter","Tigers","12.7 %","6.6 %","7.3 %","12699"
"Edwin Jackson","- - -","15.5 %","9.5 %","9.9 %","1841"
"Dan Straily","Orioles","14.0 %","9.3 %","7.8 %","9460"
