"Name","Team","K%","BB%","SwStr%","playerid"
"Jose Alvarez","Phillies","20.0 %","7.1 %","11.1 %","5358"
"Chris Martin","- - -","30.1 %","2.3 %","12.4 %","11847"
"Luis Castillo","Reds","28.9 %","10.1 %","15.9 %","15689"
"Diego Castillo","Rays","27.9 %","9.0 %","13.7 %","17496"
"David Phelps","- - -","24.5 %","11.6 %","7.8 %","6316"
"Ian Kennedy","Royals","27.4 %","6.4 %","10.0 %","6986"
"Yoan Lopez","Diamondbacks","17.1 %","6.9 %","9.7 %","17181"
"Lucas Giolito","White Sox","32.3 %","8.1 %","15.0 %","15474"
"Austin Brice","Marlins","23.1 %","9.1 %","11.3 %","17237"
"Sergio Romo","- - -","24.1 %","6.8 %","14.1 %","9817"
"Kyle Hendricks","Cubs","20.6 %","4.4 %","10.3 %","12049"
"Francisco Liriano","Pirates","20.9 %","11.6 %","13.6 %","3201"
"Ross Stripling","Dodgers","25.1 %","5.4 %","10.4 %","13273"
"Gio Gonzalez","Brewers","21.3 %","10.1 %","10.4 %","7448"
"Jake Odorizzi","Twins","27.1 %","8.1 %","12.7 %","6397"
"Archie Bradley","Diamondbacks","27.4 %","11.4 %","9.7 %","12918"
"Jeff Samardzija","Giants","18.9 %","6.6 %","8.8 %","3254"
"Nick Goody","Indians","28.9 %","12.7 %","15.8 %","13685"
"Kyle Ryan","Cubs","22.3 %","11.2 %","9.4 %","11753"
"Junior Guerra","Brewers","22.4 %","10.5 %","10.9 %","5702"
"Zach Davies","Brewers","15.2 %","7.6 %","7.2 %","13183"
"Stefan Crichton","Diamondbacks","26.8 %","6.5 %","10.1 %","16058"
"Anthony Bass","Mariners","22.8 %","9.0 %","11.3 %","7982"
"Alex Young","Diamondbacks","20.3 %","7.7 %","12.5 %","18333"
"J.B. Wendelken","Athletics","26.0 %","6.9 %","12.1 %","14506"
"Mike Minor","Rangers","23.2 %","7.9 %","11.5 %","10021"
"John Brebbia","Cardinals","28.6 %","8.9 %","13.3 %","12777"
"John Means","Orioles","19.0 %","6.0 %","9.9 %","16269"
"Mark Melancon","- - -","23.9 %","6.3 %","10.2 %","4264"
"Yimi Garcia","Dodgers","26.7 %","5.7 %","11.5 %","12095"
"Brandon Woodruff","Brewers","29.0 %","6.1 %","11.6 %","16162"
"Tim Hill","Royals","24.2 %","8.1 %","9.2 %","16814"
"Dustin May","Dodgers","22.7 %","3.6 %","8.7 %","19716"
"Tyler Kinley","Marlins","20.8 %","16.3 %","13.1 %","18297"
"Matt Bowman","Reds","18.3 %","9.5 %","8.4 %","13528"
"John Gant","Cardinals","22.3 %","12.6 %","12.4 %","13684"
"Tommy Kahnle","Yankees","35.5 %","8.1 %","17.9 %","11384"
"Lance Lynn","Rangers","28.1 %","6.7 %","12.5 %","2520"
"Jose Berrios","Twins","23.2 %","6.1 %","10.8 %","14168"
"Daniel Ponce de Leon","Cardinals","25.6 %","12.8 %","11.3 %","16110"
"Hector Rondon","Astros","18.7 %","7.8 %","9.8 %","2391"
"Kenley Jansen","Dodgers","30.4 %","6.1 %","15.7 %","3096"
"Adrian Houser","Brewers","25.3 %","8.0 %","9.7 %","12718"
"Richard Rodriguez","Pirates","22.1 %","8.1 %","10.8 %","13549"
"Buck Farmer","Tigers","25.4 %","8.3 %","12.9 %","14814"
"Josh Tomlin","Braves","15.9 %","2.2 %","9.2 %","9388"
"Carlos Estevez","Rockies","26.3 %","7.5 %","14.0 %","14542"
"Dallas Keuchel","Braves","18.7 %","8.0 %","8.7 %","9434"
"Tyler Chatwood","Cubs","22.8 %","11.4 %","9.3 %","4338"
"Robert Stephenson","Reds","30.9 %","9.2 %","18.9 %","13594"
"Andrew Chafin","Diamondbacks","30.2 %","8.0 %","15.5 %","12988"
"Tyler Webb","Cardinals","21.7 %","10.4 %","9.7 %","14974"
"Jake Newberry","Royals","21.2 %","11.7 %","12.4 %","15136"
"Wei-Chung Wang","- - -","14.0 %","10.9 %","7.9 %","14382"
"Matt Barnes","Red Sox","38.6 %","13.3 %","15.0 %","12863"
"Eduardo Rodriguez","Red Sox","24.8 %","8.7 %","11.7 %","13164"
"Marcus Walden","Red Sox","23.2 %","9.8 %","13.1 %","8004"
"Ryne Harper","Twins","22.2 %","4.4 %","11.6 %","12680"
"Cole Hamels","Cubs","23.2 %","9.1 %","11.8 %","4972"
"Chris Bassitt","Athletics","23.0 %","7.7 %","8.9 %","12304"
"Zach Plesac","Indians","18.5 %","8.4 %","9.5 %","19979"
"Julio Teheran","Braves","21.5 %","11.0 %","9.3 %","6797"
"James Paxton","Yankees","29.4 %","8.7 %","14.1 %","11828"
"Luke Jackson","Braves","33.7 %","8.3 %","16.7 %","11752"
"Jon Gray","Rockies","23.6 %","8.8 %","11.8 %","14916"
"Yonny Chirinos","Rays","21.5 %","5.3 %","10.6 %","16401"
"Anibal Sanchez","Nationals","18.8 %","8.2 %","10.1 %","3284"
