"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score","command"
"1004",605397,"Joe Musgrove",2018,1654,0.11548,0.10233,0.00709562226745733,383,0.30548,0.35001,-0.0219506993800827,924,0.69156,0.6536,0.0232681436104125,-0.0381232207230378,3.173
"1005",605397,"Joe Musgrove",2019,2697,0.12088,0.11815,-0.00228740908999962,628,0.28503,0.34516,-0.0270115366753047,1397,0.69649,0.66356,0.0226640321456058,-0.0519629779109102,3.291
"1006",605400,"Aaron Nola",2015,1090,0.08807,0.09739,-0.00623616430166169,347,0.2853,0.27795,0.000972167869724937,530,0.59245,0.63121,-0.0227134435355087,0.0174494471035719,2.913
"1007",605400,"Aaron Nola",2016,1796,0.09577,0.10554,-0.00582788203404987,524,0.29962,0.29845,0.00279060670746484,887,0.5513,0.64389,-0.0728513301097382,0.0698140547831532,3.041
"1008",605400,"Aaron Nola",2017,2567,0.10674,0.11967,-0.0104768042914354,731,0.26676,0.35004,-0.0607133438094971,1319,0.61183,0.67722,-0.0593090587173161,-0.0118810893836164,3.301
"1009",605400,"Aaron Nola",2018,3198,0.12445,0.12199,0.00128399122613896,973,0.29291,0.34744,-0.0229752115598152,1654,0.6318,0.66188,-0.0371876066829542,0.0154963863492779,3.338
"1010",605400,"Aaron Nola",2019,3335,0.11184,0.12549,-0.018820723058535,1057,0.32829,0.34308,0.000892498618485891,1539,0.5822,0.65766,-0.0802937551167829,0.0623655306767338,3.363
"1011",605446,"Dereck Rodriguez",2018,1901,0.08732,0.10057,-0.0179673060642757,585,0.28889,0.30536,-0.00391435502806994,938,0.63966,0.66897,-0.0363724960787165,0.0144908349863708,2.979
"1012",605446,"Dereck Rodriguez",2019,1664,0.08534,0.1051,-0.0208693804390334,515,0.23495,0.3032,-0.0322347577288862,816,0.67647,0.67639,-0.00874301175584529,-0.0443611264120743,3.004
"1013",605452,"Joe Ross",2015,1153,0.12056,0.10907,0.00938140694782056,373,0.28954,0.2499,0.0275518488084391,565,0.64956,0.65687,-0.0144004544499266,0.0513337102061863,2.889
"1014",605452,"Joe Ross",2016,1760,0.11136,0.11238,-0.00368570813506656,508,0.29921,0.27207,0.00754253956841756,849,0.65724,0.66827,-0.0137586387695118,0.0176154702028628,2.979
"1015",605452,"Joe Ross",2017,1181,0.10076,0.10671,-0.0089198354769954,331,0.31118,0.32347,-0.0142771752586238,598,0.63211,0.63523,-0.0127247077796378,-0.0104723029559814,3.151
"1016",605452,"Joe Ross",2019,1159,0.10699,0.11121,-0.00752221702310723,448,0.31473,0.29727,0.032626277906806,515,0.68932,0.65406,0.0124062029734601,0.0126978579102387,3.076
"1017",605476,"Carson Smith",2015,1126,0.12345,0.09223,0.0306596452492562,300,0.20667,0.22956,-0.0260419452585631,552,0.54167,0.6362,-0.0745859203929299,0.0792036203836229,2.691
