pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2120,592826,Vince Velasquez,2120,100,0.263,0.236,0.309,0.499,0.351,0.334,0.252,120,457,83.7,23.3,2400,91.2,91.38,270,1041,1061,0.2,6.34,111,151,118,150,300,325,296
2098,502042,Chris Archer,2098,100,0.249,0.212,0.304,0.461,0.338,0.347,0.265,114,458,83.6,18.5,2309,91.1,90.48,284,956,1130,-0.6,5.7,109,149,121,148,306,325,300
2090,605182,Mike Clevinger,2090,100,0.209,0.122,0.306,0.331,0.263,0.264,0.206,96,459,82.2,19,2291,88.6,89.08,337,954,1132,0.5,6.42,109,153,116,150,288,312,293
2060,605347,Jorge Lopez,2060,100,0.286,0.227,0.314,0.513,0.364,0.359,0.272,140,489,85.6,13.7,2080,89.3,89.1,197,917,1128,-0.2,6.07,111,151,121,139,301,327,302
2057,642232,Ryan Yarbrough,2057,100,0.228,0.155,0.264,0.383,0.276,0.293,0.258,121,530,79.8,17,2148,82.4,81.9,227,1014,1028,-0.5,6,107,153,114,146,292,322,293
2056,592716,Adrian Sampson,2056,100,0.302,0.266,0.327,0.568,0.387,0.373,0.3,156,516,85.7,19.1,2186,89,88.44,217,1011,1030,-0.6,5.99,107,153,112,148,294,322,302
2047,642558,Ariel Jurado,2047,100,0.304,0.222,0.322,0.526,0.366,0.365,0.298,148,487,85.4,11.9,1948,89.4,88.95,170,940,1098,-0.5,5.97,108,152,113,147,293,323,299
2028,595881,Tyler Beede,2028,100,0.271,0.19,0.313,0.462,0.342,0.343,0.266,127,468,86.3,14.8,2168,89.5,89.19,244,932,1087,-0.3,6.02,110,154,115,149,299,329,300
2001,643230,Steven Brault,2001,100,0.265,0.172,0.313,0.438,0.342,0.34,0.265,117,441,84.5,14.6,1992,88.7,89.94,211,904,1087,1.2,6.82,109,151,120,147,308,324,295
1985,630023,Yonny Chirinos,1985,100,0.225,0.189,0.246,0.414,0.29,0.321,0.26,112,498,83.2,13.6,2072,90.7,90.41,221,978,997,-0.3,6.12,108,160,117,148,292,325,298
1979,605540,Brandon Woodruff,1979,100,0.24,0.117,0.322,0.357,0.283,0.284,0.237,109,454,81.1,16.9,2181,93.1,93.15,258,1010,959,0,6.26,110,156,114,152,300,319,291
1956,519141,Drew Pomeranz,1956,100,0.261,0.206,0.34,0.467,0.344,0.315,0.234,105,403,82.4,20.7,2368,88.6,86.43,239,888,1057,-2.2,4.96,108,151,113,147,300,323,295
